ID,Company,Role,Job Description
206,Accenture,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
207,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
208,Oberoi Hotels,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
209,Havells,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
210,Google India,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
211,Infosys,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
212,Zoho,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
213,Amazon India,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
214,Voltas,Sales Field Intern,"Sales, Marketing, Consumer Durable"
215,Voltas,Sales Field Intern,"sales, Marketing, Consumer Durable"
216,Voltas,Sales Field Intern,"Sales, Marketing, Consumer Durable"
217,Samsung India,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
218,Infosys,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
219,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
220,Marriott,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
221,Godrej,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
222,IBM India,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
223,Tech Mahindra,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
224,Amazon India,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
225,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
226,Reliance Retail,Sales Field Intern,"Sales, Marketing, Consumer Durable"
227,Godrej,Sales Field Intern,"sales, Marketing, Consumer Durable"
228,Crompton,Sales Field Intern,"Sales, Marketing, Consumer Durable"
229,Crompton,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
230,Infosys,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
231,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
232,Oberoi Hotels,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
233,LG Electronics,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
234,Microsoft India,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
235,Tech Mahindra,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
236,Freshworks,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
237,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
238,LG Electronics,Sales Field Intern,"Sales, Marketing, Consumer Durable"
239,Samsung India,Sales Field Intern,"sales, Marketing, Consumer Durable"
240,Samsung India,Sales Field Intern,"Sales, Marketing, Consumer Durable"
241,Reliance Retail,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
242,Accenture,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
243,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
244,Marriott,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
245,Voltas,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
246,Google India,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
247,Infosys,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
248,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
249,Zoho,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
250,Reliance Retail,Sales Field Intern,"Sales, Marketing, Consumer Durable"
251,Havells,Sales Field Intern,"sales, Marketing, Consumer Durable"
252,Crompton,Sales Field Intern,"Sales, Marketing, Consumer Durable"
253,Voltas,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
254,Accenture,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
255,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
256,Oberoi Hotels,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
258,IBM India,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
259,HCL Technologies,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
260,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
261,Flipkart,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
262,Reliance Retail,Sales Field Intern,"Sales, Marketing, Consumer Durable"
264,Crompton,Sales Field Intern,"Sales, Marketing, Consumer Durable"
265,Crompton,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
266,Wipro,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
267,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
268,Oberoi Hotels,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
269,Havells,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
270,Google India,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
271,L&T,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
272,Zoho,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
273,Amazon India,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
274,Havells,Sales Field Intern,"Sales, Marketing, Consumer Durable"
275,Reliance Retail,Sales Field Intern,"sales, Marketing, Consumer Durable"
276,Godrej,Sales Field Intern,"Sales, Marketing, Consumer Durable"
277,Havells,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
278,Wipro,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
279,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
280,Hyatt,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
281,Godrej,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
282,IBM India,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
283,Infosys,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
284,Freshworks,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
285,Flipkart,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
286,Reliance Retail,Sales Field Intern,"Sales, Marketing, Consumer Durable"
287,Samsung India,Sales Field Intern,"sales, Marketing, Consumer Durable"
288,Samsung India,Sales Field Intern,"Sales, Marketing, Consumer Durable"
289,Havells,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
290,TCS,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
291,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
292,Hyatt,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
293,Godrej,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
294,TCS,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
295,Tech Mahindra,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
296,Amazon India,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
297,Freshworks,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
298,Voltas,Sales Field Intern,"Sales, Marketing, Consumer Durable"
299,LG Electronics,Sales Field Intern,"sales, Marketing, Consumer Durable"
300,LG Electronics,Sales Field Intern,"Sales, Marketing, Consumer Durable"
301,Crompton,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
302,Accenture,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
303,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
304,Oberoi Hotels,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
305,Godrej,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
306,IBM India,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
307,TCS,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
308,Amazon India,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
309,Flipkart,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
310,Godrej,Sales Field Intern,"Sales, Marketing, Consumer Durable"
311,Godrej,Sales Field Intern,"sales, Marketing, Consumer Durable"
312,Crompton,Sales Field Intern,"Sales, Marketing, Consumer Durable"
313,Crompton,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
314,Cognizant,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
315,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
316,ITC Hotels,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
317,Havells,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
318,TCS,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
319,TCS,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
320,Freshworks,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
321,Amazon India,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
322,Reliance Retail,Sales Field Intern,"Sales, Marketing, Consumer Durable"
323,LG Electronics,Sales Field Intern,"sales, Marketing, Consumer Durable"
324,Samsung India,Sales Field Intern,"Sales, Marketing, Consumer Durable"
325,Samsung India,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
326,Infosys,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
327,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
328,Oberoi Hotels,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
329,Voltas,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
330,TCS,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
331,TCS,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
332,Amazon India,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
333,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
334,LG Electronics,Sales Field Intern,"Sales, Marketing, Consumer Durable"
335,Crompton,Sales Field Intern,"sales, Marketing, Consumer Durable"
336,Godrej,Sales Field Intern,"Sales, Marketing, Consumer Durable"
337,Reliance Retail,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
338,TCS,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
339,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
340,Marriott,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
341,Crompton,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
342,Infosys,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
343,Infosys,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
344,Freshworks,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
345,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
346,Godrej,Sales Field Intern,"Sales, Marketing, Consumer Durable"
347,Reliance Retail,Sales Field Intern,"sales, Marketing, Consumer Durable"
348,LG Electronics,Sales Field Intern,"Sales, Marketing, Consumer Durable"
349,Havells,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
350,Infosys,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
351,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
352,Marriott,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
353,Godrej,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
354,Microsoft India,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
355,HCL Technologies,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
356,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
357,Flipkart,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
358,Godrej,Sales Field Intern,"Sales, Marketing, Consumer Durable"
359,Havells,Sales Field Intern,"sales, Marketing, Consumer Durable"
360,Voltas,Sales Field Intern,"Sales, Marketing, Consumer Durable"
